time,open,high,low,close,volume
2016-06-25 08:00:00,14.25833774,14.31891998,14.15382018,14.23826042,1440.07865374
2016-06-25 12:00:00,14.2382081,14.64991533,14.23637663,14.61447169,1813.07988058
2016-06-25 16:00:00,14.6268582,14.690453,14.02566166,14.26995659,5208.84453612
2016-06-25 20:00:00,14.25009869,14.44847976,14.18195949,14.31097402,2695.75837625
2016-06-26 00:00:00,14.30529806,14.42392048,14.28228941,14.35824627,951.47103106
2016-06-26 04:00:00,14.35824627,14.4149087,14.17464239,14.24665731,1007.20487882
2016-06-26 08:00:00,14.24692749,14.2736376,14.10408689,14.22781939,646.15154733
2016-06-26 12:00:00,14.22657732,14.44412752,13.73242914,14.17170454,2724.77179035
2016-06-26 16:00:00,14.17023823,14.30891246,13.8957465,13.9438673,1922.95508887
2016-06-26 20:00:00,13.95506066,14.06810742,13.95500606,14.06238937,1394.7479153
2016-06-27 00:00:00,13.91047618,14.43892944,13.73278755,14.08268568,4295.35443649
2016-06-27 04:00:00,14.08257702,14.19003658,14.02134895,14.14109967,2200.84588977
2016-06-27 08:00:00,14.10603724,14.19941341,13.93657347,14.04088516,2826.34474351
2016-06-27 12:00:00,14.04165241,14.11106831,13.80587473,13.99659953,3321.78063107
2016-06-27 16:00:00,14.00731668,14.10609363,13.80417415,13.92671605,3887.26452176
2016-06-27 20:00:00,13.92241047,14.1453719,13.8725253,14.14273591,4426.82356998
2016-06-28 00:00:00,14.14262832,14.20191661,13.76583417,13.8780745,3236.10919133
2016-06-28 04:00:00,13.8801828,13.9525402,13.60092731,13.71871637,1914.76868747
2016-06-28 08:00:00,13.71866346,13.80320381,13.68529291,13.70165212,1532.43013824
2016-06-28 12:00:00,13.70165212,13.70752842,12.7552474,12.8321096,3345.10594422
2016-06-28 16:00:00,12.8321096,13.07325777,11.70717677,12.00694057,3828.05230874
2016-06-28 20:00:00,12.00661632,12.40339254,11.9005818,12.31021917,3503.48486622
2016-06-29 00:00:00,12.29325797,12.42406504,11.57152458,12.1009056,4472.05301296
2016-06-29 04:00:00,12.11218597,12.18643693,11.92883632,12.17948654,2528.09745278
2016-06-29 08:00:00,12.17948654,12.2359592,11.7728769,11.96121548,2793.34593268
2016-06-29 12:00:00,11.96121548,12.3494171,11.80519769,12.3189506,3914.32164999
2016-06-29 16:00:00,12.33507191,12.60925148,12.31881922,12.5395201,4760.60049451
2016-06-29 20:00:00,12.55001773,13.03977597,12.52137888,12.85984755,4495.16990731
2016-06-30 00:00:00,12.86884418,12.86995493,12.51613328,12.57200032,3479.97026559
2016-06-30 04:00:00,12.59298022,12.73378452,12.57528025,12.59536944,1837.41853149
2016-06-30 08:00:00,12.58851813,12.71208153,12.18219449,12.37830572,4383.00484565
2016-06-30 12:00:00,12.37968151,12.63924309,12.33341326,12.43680211,6337.27920745
2016-06-30 16:00:00,12.43958934,12.54918211,12.34708293,12.39976448,4867.14503983
2016-06-30 20:00:00,12.39325427,12.61834449,12.32618855,12.43839552,2527.14415592
2016-07-01 00:00:00,12.43416555,12.58351967,12.30938908,12.54263168,4297.33545854
2016-07-01 04:00:00,12.5426775,12.54730512,12.01957466,12.26124435,3244.28900282
2016-07-01 08:00:00,12.26242477,12.26764586,12.05847022,12.07445629,1780.11641026
2016-07-01 12:00:00,12.07458951,12.13433218,11.79453114,11.95932508,2869.16255848
2016-07-01 16:00:00,11.95959137,12.1467009,11.88814807,12.13968656,4482.2266479
2016-07-01 20:00:00,12.14239542,12.41035746,12.09612155,12.30640062,2476.17038
2016-07-02 00:00:00,12.30594577,12.31608876,11.99144109,12.10440611,1397.14143736
2016-07-02 04:00:00,12.10735222,12.21686571,12.0580799,12.08368234,1460.55391437
2016-07-02 08:00:00,12.08377134,12.22395811,11.95461168,11.98043072,4158.34135354
2016-07-02 12:00:00,11.9816734,12.09937687,11.9230838,12.06056292,3491.006301
2016-07-02 16:00:00,12.06056292,12.13715468,12.03883456,12.1176238,2259.21428667
2016-07-02 20:00:00,12.11753658,12.18341414,12.0140489,12.18228685,3119.54031728
2016-07-03 00:00:00,12.18358757,12.19945642,11.81056033,12.03868661,3146.91564598
2016-07-03 04:00:00,12.03337726,12.11254239,11.92635869,12.04907837,2741.61431086
2016-07-03 08:00:00,12.05119414,12.13026416,11.85994253,12.02938989,2731.35070239
2016-07-03 12:00:00,12.02934573,12.02969899,11.53300278,11.73219453,4936.58976659
2016-07-03 16:00:00,11.73769995,11.82657889,11.50103967,11.77764646,2937.97097176
2016-07-03 20:00:00,11.77950229,12.01227631,11.66348509,11.7356016,1734.9059688
2016-07-04 00:00:00,11.738317,11.86564623,11.49725981,11.84465966,2389.47811428
2016-07-04 04:00:00,11.8466882,11.91845845,11.78590962,11.83549654,1807.81282011
2016-07-04 08:00:00,11.83628817,11.85058134,11.52030093,11.59330128,2292.98408276
